,Avg MASE,Avg Rank
SeasonalMBB,1.1257072148458398,5.0
grasynda_uniform,1.1246939929434274,5.166666666666667
Scaling,1.1121115143381104,5.333333333333333
TSMixup,1.1208086920302482,5.666666666666667
grasynda_vis_degree,1.1244820670474098,5.666666666666667
grasynda_kde,1.1533534754811914,6.666666666666667
Jittering,1.1276229667870867,6.833333333333333
MagnitudeWarping,1.1299001603959022,7.0
original,1.1313268316241245,7.166666666666667
DBA,1.130703570108686,7.5
grasynda_vis_hybrid,1.1509215618669026,7.833333333333333
TimeWarping,1.143799995741176,8.5
SeasonalNaive,1.403644936863328,12.666666666666666
