Dataset,Group,Method,Train+Real_MASE,TSTR_MASE,Degradation_%,Category
Gluonts,m1_monthly,Grasynda_Uniform,0.954958200454712,0.973935425,1.987230910866231,Grasynda
Gluonts,m1_monthly,SeasonalMBB,0.9515777230262756,0.9598645567893982,0.8708520137239212,Other
Gluonts,m1_monthly,Jittering,0.9726837277412416,0.9534719586372375,-1.9751301020134708,Other
Gluonts,m1_monthly,Scaling,0.9453368782997132,0.9681983590126038,2.418342205585935,Other
Gluonts,m1_monthly,TimeWarping,0.9742283821105956,1.1418306827545166,17.203594528915563,Other
Gluonts,m1_monthly,MagnitudeWarping,0.9830352663993835,1.0948402881622314,11.373449720920206,Other
Gluonts,m1_monthly,TSMixup,0.9618670344352722,1.094407081604004,13.779456247458164,Other
Gluonts,m1_monthly,DBA,0.9787758588790894,1.029102444648743,5.141788624342288,Other
Gluonts,m1_quarterly,Grasynda_Uniform,1.0465850830078125,1.100843191,5.184299764358721,Grasynda
Gluonts,m1_quarterly,SeasonalMBB,1.0414220094680786,1.0884201526641846,4.512881691458675,Other
Gluonts,m1_quarterly,Jittering,1.0393908023834229,1.041378140449524,0.1912021985901662,Other
Gluonts,m1_quarterly,Scaling,1.0444360971450806,1.1849145889282229,13.450175857300795,Other
Gluonts,m1_quarterly,TimeWarping,1.0672272443771362,1.2221599817276,14.517314673772871,Other
Gluonts,m1_quarterly,MagnitudeWarping,1.011553406715393,0.9677342176437378,-4.331871039210892,Other
Gluonts,m1_quarterly,TSMixup,1.0537292957305908,1.0599831342697144,0.593495745488172,Other
Gluonts,m1_quarterly,DBA,1.0705691576004028,1.0955103635787964,2.3297146009975966,Other
M3,Monthly,Grasynda_Uniform,0.7556778050683655,0.784713437,3.842329592968219,Grasynda
M3,Monthly,SeasonalMBB,0.7524141893961527,0.8198768787133086,8.966163885252865,Other
M3,Monthly,Jittering,0.7867379820451661,0.8183499858011603,4.018110791323068,Other
M3,Monthly,Scaling,0.7743794217238742,0.9059320833372422,16.98814017042367,Other
M3,Monthly,TimeWarping,0.7681802357602687,0.9524148960231534,23.98325961622112,Other
M3,Monthly,MagnitudeWarping,0.763112182774228,0.8405737754604029,10.15074774518342,Other
M3,Monthly,TSMixup,0.7664208876427518,0.8403388100305159,9.64456000346106,Other
M3,Monthly,DBA,0.7714199281708178,0.8271840076341662,7.2287579600873855,Other
M3,Quarterly,Grasynda_Uniform,1.223879508830192,1.179308851,-3.641752109469778,Grasynda
M3,Quarterly,SeasonalMBB,1.1789376882964424,1.25397961154712,6.365215396507741,Other
M3,Quarterly,Jittering,1.1711792600355329,1.2017363470061988,2.609087098224303,Other
M3,Quarterly,Scaling,1.1002431897820448,1.2382489007310211,12.543200651513676,Other
M3,Quarterly,TimeWarping,1.1397601806682447,1.459317383782283,28.0372317382312,Other
M3,Quarterly,MagnitudeWarping,1.1858971678613723,1.299446921312572,9.575008401105581,Other
M3,Quarterly,TSMixup,1.179393473811475,1.270435193337758,7.719367755365064,Other
M3,Quarterly,DBA,1.1719803429152202,1.2056750048096034,2.875019371960629,Other
Tourism,Monthly,Grasynda_Uniform,1.1742578700205744,1.18418338,0.8452581185810262,Grasynda
Tourism,Monthly,SeasonalMBB,1.196204122854437,1.2093502322567609,1.098985461691448,Other
Tourism,Monthly,Jittering,1.2012174151228736,1.204656275589285,0.286281269578457,Other
Tourism,Monthly,Scaling,1.2030732571120877,1.2093022630291737,0.517757823994722,Other
Tourism,Monthly,TimeWarping,1.2358928368088598,2.210234426933091,78.83706103840137,Other
Tourism,Monthly,MagnitudeWarping,1.1992370255611922,1.204636764688884,0.45026454425596324,Other
Tourism,Monthly,TSMixup,1.1903658616073236,1.2463557066304316,4.703582892364387,Other
Tourism,Monthly,DBA,1.1804694046952258,1.1976088881443612,1.4519210223462324,Other
Tourism,Quarterly,Grasynda_Uniform,1.5928054902789088,1.608001223,0.9540231254746836,Grasynda
Tourism,Quarterly,SeasonalMBB,1.6336875560336526,1.6699647694420527,2.22057230431967,Other
Tourism,Quarterly,Jittering,1.594528613394283,1.6412204353960484,2.9282523756266867,Other
Tourism,Quarterly,Scaling,1.605200241965861,1.6151286496541022,0.6185152125370946,Other
Tourism,Quarterly,TimeWarping,1.6775110947219514,3.0751688920848923,83.31735043425175,Other
Tourism,Quarterly,MagnitudeWarping,1.636565913063843,1.641531235331781,0.30339885661203436,Other
Tourism,Quarterly,TSMixup,1.573075598954076,1.7426173080745688,10.777721632273726,Other
Tourism,Quarterly,DBA,1.6110067283913605,1.6533067402371402,2.625688093060763,Other
