Dataset,Method,Precision,Recall
Gluonts_m1_monthly,DBA,0.985,0.989
Gluonts_m1_monthly,GrasyndaE,1.0,1.0
Gluonts_m1_monthly,Jittering,1.0,1.0
Gluonts_m1_monthly,MagnitudeWarping,1.0,0.998
Gluonts_m1_monthly,Scaling,0.998,0.951
Gluonts_m1_monthly,SeasonalMBB,0.998,1.0
Gluonts_m1_monthly,TSMixup,0.976,0.972
Gluonts_m1_monthly,TimeWarping,0.998,0.97
Gluonts_m1_quarterly,DBA,1.0,0.971
Gluonts_m1_quarterly,GrasyndaE,1.0,1.0
Gluonts_m1_quarterly,Jittering,1.0,1.0
Gluonts_m1_quarterly,MagnitudeWarping,1.0,1.0
Gluonts_m1_quarterly,Scaling,1.0,0.827
Gluonts_m1_quarterly,SeasonalMBB,1.0,1.0
Gluonts_m1_quarterly,TSMixup,0.902,0.925
Gluonts_m1_quarterly,TimeWarping,1.0,0.971
M3_Monthly,DBA,0.997,0.996
M3_Monthly,GrasyndaE,1.0,1.0
M3_Monthly,Jittering,1.0,1.0
M3_Monthly,MagnitudeWarping,0.997,0.971
M3_Monthly,Scaling,1.0,0.418
M3_Monthly,SeasonalMBB,1.0,1.0
M3_Monthly,TSMixup,0.999,0.985
M3_Monthly,TimeWarping,0.999,0.999
M3_Quarterly,DBA,0.996,0.996
M3_Quarterly,GrasyndaE,0.997,0.999
M3_Quarterly,Jittering,1.0,1.0
M3_Quarterly,MagnitudeWarping,0.994,0.983
M3_Quarterly,Scaling,0.994,0.57
M3_Quarterly,SeasonalMBB,0.997,1.0
M3_Quarterly,TSMixup,0.99,0.986
M3_Quarterly,TimeWarping,0.99,0.994
Tourism_Monthly,DBA,1.0,0.951
Tourism_Monthly,GrasyndaE,0.995,1.0
Tourism_Monthly,Jittering,1.0,1.0
Tourism_Monthly,MagnitudeWarping,0.997,0.997
Tourism_Monthly,Scaling,1.0,0.981
Tourism_Monthly,SeasonalMBB,0.986,1.0
Tourism_Monthly,TSMixup,0.841,0.973
Tourism_Monthly,TimeWarping,0.734,0.907
Tourism_Quarterly,DBA,0.995,0.979
Tourism_Quarterly,GrasyndaE,1.0,1.0
Tourism_Quarterly,Jittering,1.0,1.0
Tourism_Quarterly,MagnitudeWarping,1.0,1.0
Tourism_Quarterly,Scaling,0.998,0.986
Tourism_Quarterly,SeasonalMBB,1.0,1.0
Tourism_Quarterly,TSMixup,0.965,0.939
Tourism_Quarterly,TimeWarping,0.977,0.972
