Dataset,Group,Augmentation_Method,Forecasting_Model,Training_Mode,MASE,Train_Size,Test_Size,Status
Gluonts,m1_monthly,Baseline (No Augmentation),NHITS,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Gluonts,m1_monthly,Baseline (No Augmentation),MLP,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Gluonts,m1_monthly,Baseline (No Augmentation),KAN,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Gluonts,m1_quarterly,Baseline (No Augmentation),NHITS,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Gluonts,m1_quarterly,Baseline (No Augmentation),MLP,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Gluonts,m1_quarterly,Baseline (No Augmentation),KAN,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
M3,Monthly,Baseline (No Augmentation),NHITS,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
M3,Monthly,Baseline (No Augmentation),MLP,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
M3,Monthly,Baseline (No Augmentation),KAN,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
M3,Quarterly,Baseline (No Augmentation),NHITS,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
M3,Quarterly,Baseline (No Augmentation),MLP,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
M3,Quarterly,Baseline (No Augmentation),KAN,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Tourism,Monthly,Baseline (No Augmentation),NHITS,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Tourism,Monthly,Baseline (No Augmentation),MLP,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Tourism,Monthly,Baseline (No Augmentation),KAN,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Tourism,Quarterly,Baseline (No Augmentation),NHITS,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Tourism,Quarterly,Baseline (No Augmentation),MLP,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
Tourism,Quarterly,Baseline (No Augmentation),KAN,Baseline,,,,Error: Trainer.__init__() got an unexpected keyword argument 'freq'
